Opening,Closing,Job Title,Organisation,Location,Category,Salary per month,Fraction,Contract Type
2013-08-12 12:00:00,2013-09-11 12:00:00,Fund Accountant  Hedge Fund,Austin Andrew Ltd,London,Finance and Accounting,3333,,Permanent
2013-02-05 15:00:00,2013-04-06 15:00:00,Management Support Executive,Brian Durham Recruitment Services Limited,The City,Finance and Accounting,1583,,Permanent
2013-01-23 15:00:00,2013-02-06 15:00:00,RFP Writer,Bruin Financial Limited,London,"PR, Advertising and Marketing",3520,,Contract
2013-02-03 00:00:00,2013-03-05 00:00:00,Senior Equity Settlements,Brian Durham Recruitment Services Limited,The City,Finance and Accounting,1500,,Permanent
2013-07-29 15:00:00,2013-08-28 15:00:00,Assistant Accountant  Business Partnering,Harrison Holgate,The City,Finance and Accounting,2708,,Permanent
2013-11-29 15:00:00,2013-12-29 15:00:00,Treasury Dealer FX Dealer,Daniel Recruitment Ltd,London,Finance and Accounting,2917,,Contract
2013-04-21 00:00:00,2013-07-20 00:00:00,Billing Coordinator,Ambition Europe Limited,The City,Finance and Accounting,2708,,Permanent
2012-11-02 15:00:00,2012-12-02 15:00:00,Settlements Adminstrator  Investment Management,Mayford James Limited,The City,Finance and Accounting,2800,,Permanent
2013-10-10 00:00:00,2013-10-24 00:00:00,Middle Office Support,The Ocean Partnership Limited,London,Finance and Accounting,2880,,Contract
2012-03-14 12:00:00,2012-05-13 12:00:00,Equity Research Sales  Private Clients,Austin Benn,London,Finance and Accounting,2083,,Permanent
2013-04-22 12:00:00,2013-06-21 12:00:00,Banking Cashier,Rebecca Poulter Recruitment,Central London,Finance and Accounting,2000,,Contract
2013-09-12 00:00:00,2013-11-11 00:00:00,Portfolio Finance Planning Manager,Argyll Scott International Limited,London,Information Technology,6667,,Permanent
2012-02-13 00:00:00,2012-05-13 00:00:00,Senior Audit Investigations Manager,Alexander Lloyd,Croydon,Finance and Accounting,6667,,Permanent
2012-07-24 00:00:00,2012-08-23 00:00:00,Treasury Risk Controller : Middle Office Compliance : Oil Gas Co,Eaglecliff Limited,London,Finance and Accounting,6400,,Contract
2012-01-25 12:00:00,2012-02-08 12:00:00,Business Change Analyst / Project Manager,Livingston Edwards Ltd,London,Information Technology,6500,,Contract
2012-06-13 15:00:00,2012-08-12 15:00:00,CREDIT ANALYST  up to ****k  London,cer Financial,London,Finance and Accounting,5833,,Permanent
2012-06-11 15:00:00,2012-08-10 15:00:00,Assistant Vice President  Auditor,Oliver James Associates Limited,London,Finance and Accounting,5625,,Permanent
2012-10-22 12:00:00,2013-01-20 12:00:00,Senior Business Analyst / Business Analyst  Claims,Incite Solutions Ltd,Croydon,Finance and Accounting,4583,,Permanent
2012-04-15 00:00:00,2012-06-14 00:00:00,Business Strategy Analyst,Badenoch Clark Ltd,The City,Finance and Accounting,5000,,Permanent
2012-03-18 12:00:00,2012-05-17 12:00:00,Insurance  Financial Accountant,Morgan McKinley Group Limited,The City,Finance and Accounting,4583,,Permanent
2013-10-02 15:00:00,2013-11-01 15:00:00,Committee Secretary  London  ****k,cer Financial,London,Finance and Accounting,5000,,Permanent
2013-02-24 15:00:00,2013-04-25 15:00:00,Royalties Manager / FP A Manager,Experis Limited,The City,Finance and Accounting,4292,,Contract
2012-04-19 15:00:00,2012-07-18 15:00:00,International Communications Manager,Austin Benn,London,Finance and Accounting,4375,,Permanent
2012-05-11 12:00:00,2012-08-09 12:00:00,Operational Risk and Control Manager,Badenoch Clark Ltd,The City,Finance and Accounting,4167,,Permanent
2013-01-13 12:00:00,2013-02-12 12:00:00,Sourcing Manager  Professional Fees,Hays Financial Markets,The City,Finance and Accounting,3958,,Permanent
2012-03-04 12:00:00,2012-05-03 12:00:00,Mortgage Protection AdvisorEstate Agent,ASK Recruitment,UK,Finance and Accounting,2083,,Permanent
2013-10-28 15:00:00,2013-12-27 15:00:00,PMO / Senior PMO Analyst,Incite Solutions Ltd,The City,Finance and Accounting,3750,,Permanent
2013-12-25 12:00:00,2014-01-24 12:00:00,SECONDARY LOANS / SYNDICATIONS ADMIN / SETTLEMENTS,Brian Durham Recruitment Services Limited,City,Finance and Accounting,4000,,Contract
2012-09-28 15:00:00,2012-11-27 15:00:00,Management Account,Ambition Europe Limited,The City,Finance and Accounting,3458,,Permanent
2013-05-10 12:00:00,2013-07-09 12:00:00,Real Estate Finance  Asset Management Analyst,Mayford James Limited,London,Finance and Accounting,3333,,Permanent
2013-08-10 00:00:00,2013-10-09 00:00:00,"Chartered IFA Farnham Up to **** , **** (********k OTE)",Idex Consulting LLP,Farnham,Finance and Accounting,3542,,Permanent
2012-10-15 12:00:00,2012-11-14 12:00:00,Business Change Senior Project Manager  East Midlands,Austin Andrew Ltd,East Midlands,Finance and Accounting,3500,,Permanent
2012-02-22 00:00:00,2012-03-07 00:00:00,"KYC Remediation Analyst AML, JMLSG, OnBoarding",EDIT Professional Ltd,UK,Finance and Accounting,3760,,Contract
2012-05-26 12:00:00,2012-06-25 12:00:00,Investment Manager,James Associates Recruitment Ltd,UK,Finance and Accounting,2917,,Permanent
2013-05-16 15:00:00,2013-06-15 15:00:00,Senior HR Consultant,cer Financial,UK,Finance and Accounting,3333,,Permanent
2012-11-15 12:00:00,2012-12-15 12:00:00,Fixed Income Trade Support  Investment Management,Austin Benn,West End,Finance and Accounting,3125,,Permanent
2012-12-01 12:00:00,2013-03-01 12:00:00,Corporate Retail Banking PMO (Perm),Badenoch Clark Ltd,The City,Finance and Accounting,3021,,Permanent
2013-05-25 00:00:00,2013-08-23 00:00:00,Fluent German Speaker : Compliance Position,Hays Financial Markets,The City,Finance and Accounting,2708,,Permanent
2013-07-17 12:00:00,2013-10-15 12:00:00,Fraud Intelligence Analyst,Apache Associates Ltd,Crawley,Finance and Accounting,2583,,Permanent
2013-07-26 12:00:00,2013-10-24 12:00:00,Accounts Assistant  Asset Management,Maldon Partners Ltd,The City,Finance and Accounting,2417,,Permanent
2012-04-05 15:00:00,2012-06-04 15:00:00,Investment Operations Transfer Administrator,James Associates Recruitment Ltd,London,Finance and Accounting,2625,,Permanent
2013-05-21 15:00:00,2013-06-20 15:00:00,Investment Operations Reconciliations Administrator  Parttime,James Associates Recruitment Ltd,London,Finance and Accounting,2292,Part Time,
2013-11-05 00:00:00,2014-01-04 00:00:00,Assistant Accountant Financial Services Experience Required,Maldon Partners Ltd,London,Finance and Accounting,2292,,Permanent
2012-06-11 15:00:00,2012-09-09 15:00:00,Management Information Analyst  Insurance experience essential,Taylor James Resourcing Limited,City,Finance and Accounting,2500,,Permanent
2012-05-09 12:00:00,2012-06-08 12:00:00,Banking Administrator,Austin Andrew Ltd,London,Finance and Accounting,2417,,Permanent
2012-03-23 00:00:00,2012-04-22 00:00:00,Finance Secretary / PA,Brian Durham Recruitment Services Limited,The City,Finance and Accounting,1167,,Permanent
2012-06-24 12:00:00,2012-07-24 12:00:00,Secretary / Team Support  International Banking,Citifocus Limited,The City,Finance and Accounting,2333,,Permanent
2012-01-26 15:00:00,2012-04-25 15:00:00,Graduate Scheme  Asset Management,Kennedy Pearce Consulting Ltd,The City,Finance and Accounting,2146,,Permanent
2013-07-21 15:00:00,2013-08-04 15:00:00,Banking Cashier / Customer Services Clerk,LMA Recruitment Ltd,City,Finance and Accounting,2125,,Contract
2013-04-26 12:00:00,2013-05-26 12:00:00,Collateral Analyst,Badenoch Clark Ltd,UK,Finance and Accounting,1875,,Permanent
2013-05-22 00:00:00,2013-08-20 00:00:00,Insurance Technician,Wavelength Recruitment,Cheltenham,Finance and Accounting,1417,,Permanent
2012-09-12 00:00:00,2012-10-12 00:00:00,Treasury Operations,Robert Half,The City,Finance and Accounting,2400,,Contract
2012-01-08 12:00:00,2012-02-07 12:00:00,Interim Syndicate Accountant,Insight Recruitment Solutions Ltd,The City,Finance and Accounting,7500,,Contract
2013-11-17 00:00:00,2013-12-17 00:00:00,Senior Internal Audit Manager  Change,Black Swan Associates Limited,The City,Finance and Accounting,7083,,Permanent
2012-07-18 12:00:00,2012-09-16 12:00:00,Insurance Internal Audit,LMA Recruitment Ltd,UK,Finance and Accounting,6250,,Permanent
2013-10-24 00:00:00,2013-12-23 00:00:00,Decision Science Manager  Cards  Awesome Opportunity  South East,PeopleGenius Ltd,London,Finance and Accounting,6250,,Permanent
2012-10-14 15:00:00,2013-01-12 15:00:00,ETF Sales UK Institutional clients,Argyll Scott International Limited,London,Finance and Accounting,6250,,Permanent
2013-02-11 00:00:00,2013-04-12 00:00:00,"Internal Auditor, Capital Markets",LMA Recruitment Ltd,London,Finance and Accounting,6250,,Permanent
2013-12-02 00:00:00,2014-01-01 00:00:00,"Lending Manager / Senior Manager, Commercial Real Estate Workout",Hays Financial Markets,London,Finance and Accounting,4583,,Permanent
2012-12-12 12:00:00,2013-03-12 12:00:00,"Credit Supervision, Credit Sanctioning",Brooker Associates Limited,London,Finance and Accounting,4375,,Permanent
2013-05-09 15:00:00,2013-06-08 15:00:00,Corporate Credit Analyst,Prime Personnel Services Ltd,City,Finance and Accounting,2500,,Permanent
2012-08-18 15:00:00,2012-09-17 15:00:00,Senior Accountant (Insurance),Ambition Europe Limited,London,Finance and Accounting,4375,,Permanent
2012-08-14 00:00:00,2012-09-13 00:00:00,Treasury Supervisor CLS,Prime Personnel Services Ltd,The City,Finance and Accounting,4583,,Permanent
2013-07-20 12:00:00,2013-09-18 12:00:00,Risk Liquidity Analyst,LMA Recruitment Ltd,City,Finance and Accounting,3800,,Contract
2013-09-27 12:00:00,2013-12-26 12:00:00,Compliance Manager : IFA Funds,Hays Financial Markets,The City,Finance and Accounting,3750,,Permanent
2013-02-12 15:00:00,2013-05-13 15:00:00,COMPLIANCE MONITORING OFFICER,Montpellier Resourcing Ltd,London,Finance and Accounting,1875,,Permanent
2012-11-12 12:00:00,2012-12-12 12:00:00,Client Relationship Manager  Asset Management,Livingston Edwards Ltd,London,Finance and Accounting,3458,,Permanent
2013-12-09 12:00:00,2014-01-08 12:00:00,Credit Analyst (Aircraft Finance),LMA Recruitment Ltd,City,Finance and Accounting,4000,,Contract
2013-01-03 00:00:00,2013-02-02 00:00:00,Casualty Claims Handler,Randstad Financial Professional Ltd,The City,Finance and Accounting,3750,,Permanent
2012-10-05 00:00:00,2012-11-04 00:00:00,Trade Finance Analyst,LMA Recruitment Ltd,City,Finance and Accounting,2917,,Contract
2013-05-11 12:00:00,2013-06-10 12:00:00,Vice President  Banking Regulatory Review Challenge,Morgan McKinley Group Limited,London,Finance and Accounting,7500,,Permanent
2013-10-24 15:00:00,2014-01-22 15:00:00,IT Risk / Audit  Senior Manager,Oliver James Associates Limited,The City,Finance and Accounting,7083,,Permanent
2013-03-24 15:00:00,2013-05-23 15:00:00,Group Head of IT Security,Oliver James Associates Limited,Dorking,Information Technology,7083,,Permanent
2013-12-10 15:00:00,2014-02-08 15:00:00,Compliance Supervisor,MW Recruitment Ltd,London,Finance and Accounting,5833,Part Time,
2013-06-10 00:00:00,2013-08-09 00:00:00,Compliance Analyst/ Specialist,Black Swan Associates Limited,London,Finance and Accounting,5000,,Permanent
2012-01-17 15:00:00,2012-03-17 15:00:00,Sales Trader,Kennedy Pearce Consulting Ltd,The City,Finance and Accounting,5417,,Permanent
2013-08-27 15:00:00,2013-11-25 15:00:00,"Governance, Risk Compliance Manager",Oliver James Associates Limited,The City,Information Technology,5208,,Permanent
2013-12-03 00:00:00,2014-02-01 00:00:00,Head of Loans Administration,Eximius Operations Ltd,The City,Finance and Accounting,5417,,Permanent
2012-05-30 00:00:00,2012-06-29 00:00:00,Institutional Client Sales Associate,Mayford James Limited,London,Finance and Accounting,4375,,Permanent
2013-02-22 12:00:00,2013-03-24 12:00:00,Trading Support Engineer (FIX),REC Solutions Ltd,London,Finance and Accounting,4583,,Permanent
2012-01-25 12:00:00,2012-04-24 12:00:00,Senior Compliance Associate,Black Swan Associates Limited,London,Finance and Accounting,5208,,Permanent
2013-06-10 00:00:00,2013-08-09 00:00:00,Compliance Consultant Opportunities,Black Swan Associates Limited,London,Finance and Accounting,4583,,Permanent
2012-07-09 15:00:00,2012-07-23 15:00:00,Risk Analytics and Credit Model Development (Retail),Black Swan Associates Limited,The City,Finance and Accounting,4583,,Contract
2013-08-23 15:00:00,2013-09-22 15:00:00,Implementation Consultant / Business Analyst  F / S Software,Incite Solutions Ltd,Redhill,Information Technology,4792,,Permanent
2012-04-17 15:00:00,2012-05-17 15:00:00,Legal Entity Controller,Ambition Europe Limited,The City,Finance and Accounting,5000,,Permanent
2013-07-08 12:00:00,2013-09-06 12:00:00,Senior Business Modelling Analyst  AVP,Bruin Financial Limited,London,Finance and Accounting,5417,,Permanent
2012-11-07 00:00:00,2012-12-07 00:00:00,Data Analyst (SAS / SQL),Oliver James Associates Limited,London,Information Technology,4167,,Permanent
2013-11-08 15:00:00,2013-12-08 15:00:00,Business Intelligence / Data Analytic Managers,Oliver James Associates Limited,UK,Finance and Accounting,4583,,Permanent
2013-11-18 00:00:00,2013-12-02 00:00:00,**** x Digital Channel Optimisation Specialists,MCGREGOR BOYALL ASSOCIATES LIMITED,London,Finance and Accounting,4500,,Contract
2012-09-02 00:00:00,2012-10-02 00:00:00,Senior Corporate Underwriter,Idex Consulting LLP,UK,Finance and Accounting,4583,,Permanent
2012-10-10 00:00:00,2012-11-09 00:00:00,Credit Risk Stratergy  Manager,Goodman Masson Recruitment Services Ltd,The City,Finance and Accounting,3542,,Permanent
2012-09-22 15:00:00,2012-11-21 15:00:00,Client Relationship Executive Supervisor,Black Swan Associates Limited,London,Finance and Accounting,4167,,Permanent
2012-09-07 00:00:00,2012-10-07 00:00:00,Sales Operations Director,Balanced People Limited,UK,Finance and Accounting,4375,,Permanent
2013-06-20 12:00:00,2013-08-19 12:00:00,PPI Head of Group Customer Relations,Lesley Ray,Hertfordshire,Finance and Accounting,3958,,Permanent
2013-12-18 12:00:00,2014-02-16 12:00:00,Credit Analyst FI Banks,Prime Personnel Services Ltd,The City,Finance and Accounting,4167,,Permanent
2012-09-30 00:00:00,2012-10-30 00:00:00,Trade Finance Officer,cer Financial,London,Finance and Accounting,3833,,Contract
2013-01-17 12:00:00,2013-01-31 12:00:00,Company Secretary / Administrator,Astbury Marsden Partners Ltd,The City,Finance and Accounting,3333,,Contract
2013-08-21 15:00:00,2013-10-20 15:00:00,FX DEALER (CORPORATE CLIENTS),Sublime Resourcing Limited,London,Finance and Accounting,3750,,Permanent
2013-07-25 12:00:00,2013-09-23 12:00:00,MANDARIN SPEAKING INTERNAL AUDITOR,People First Recruitment Limited,London,Finance and Accounting,1875,,Permanent
2012-11-12 15:00:00,2012-12-12 15:00:00,Client Reporting Analyst,C.K.R. Recruitment Limited,The City,Finance and Accounting,3542,,Permanent
2012-08-22 12:00:00,2012-09-05 12:00:00,Risk Analyst  Insurance  sixmonth contract,Austin Andrew Ltd,London,Finance and Accounting,3125,,Contract
2013-01-28 00:00:00,2013-02-27 00:00:00,Corporate Development Executive  Birmingham,Idex Consulting LLP,Birmingham,Finance and Accounting,3333,,Permanent
2012-07-18 00:00:00,2012-08-01 00:00:00,Temp Hybrid Transfer Agency / Treasury / Cash Flow for Master Feeder,Twenty Recruitment Ltd,UK,Finance and Accounting,3000,,Contract
2012-08-10 15:00:00,2012-10-09 15:00:00,"Paraplanner Hampshire Up to **** , ****",Idex Consulting LLP,Hampshire,Finance and Accounting,2917,,Permanent
2012-01-02 12:00:00,2012-04-01 12:00:00,Business Development Sales Executive x ****,Balanced People Limited,London,Finance and Accounting,2708,,Permanent
2013-10-02 15:00:00,2013-11-01 15:00:00,Credit Assistant,Venn Group Limited,London,Finance and Accounting,2800,,
2013-12-12 00:00:00,2014-03-12 00:00:00,Senior Fund Administrator,Kennedy Pearce Consulting Ltd,Hertfordshire,Finance and Accounting,2375,,Permanent
2012-12-05 12:00:00,2013-01-04 12:00:00,Consultant  Currency sales,Hays Financial Markets,The City,Finance and Accounting,2250,,Permanent
2013-01-06 00:00:00,2013-02-05 00:00:00,Accounts Payable / Compliance / Administrator,Prime Personnel Services Ltd,London,Finance and Accounting,2375,,Permanent
2013-01-03 12:00:00,2013-03-04 12:00:00,Analyst  MI,Hays Financial Markets,The City,Finance and Accounting,2333,,Contract
2012-01-31 00:00:00,2012-04-30 00:00:00,"Paraplanner Fareham Circa **** , ****  Benefits",Idex Consulting LLP,Fareham,Finance and Accounting,2083,,Permanent
2013-02-08 00:00:00,2013-04-09 00:00:00,TRAINEE COMMERCIAL INSURANCE ACCOUNT HANDLER,Clark James Ltd,UK,Finance and Accounting,1667,,Permanent
2013-11-04 15:00:00,2013-12-04 15:00:00,Global MI Analytics Business Manager  Leading Investment Bank,Concilium Finance Limited,London,Finance and Accounting,7917,,Permanent
2012-11-27 12:00:00,2013-02-25 12:00:00,Senior Audit Manager  Market Model Risk,Paritas Recruitment Limited,London,Finance and Accounting,7500,,Permanent
2013-01-05 12:00:00,2013-04-05 12:00:00,"Internal Audit, VP, Investment Banking, Quantitative",Morgan McKinley Group Limited,London,Finance and Accounting,6875,,Permanent
2013-11-01 12:00:00,2014-01-30 12:00:00,IT Audit  Tier One Banking Group,Paritas Recruitment Limited,London,Finance and Accounting,5417,,Permanent
2013-03-16 15:00:00,2013-06-14 15:00:00,Senior Business Analyst  Investment Operations Systems,Incite Solutions Ltd,The City,Finance and Accounting,5833,,Permanent
2013-10-25 12:00:00,2014-01-23 12:00:00,Commercial Finance Associate,Morgan McKinley Group Limited,London,Finance and Accounting,5208,,Permanent
2013-08-08 12:00:00,2013-11-06 12:00:00,Head of Underwriting Development  Life,High Finance Group,London,Finance and Accounting,5500,,Permanent
2012-11-06 00:00:00,2012-12-06 00:00:00,Deputy Chief Executive,Hays Financial Markets,The City,Finance and Accounting,5000,,Permanent
2013-09-23 12:00:00,2013-10-23 12:00:00,Cash Originator,Goodman Masson Recruitment Services Ltd,London,Finance and Accounting,4792,,Permanent
2013-09-21 00:00:00,2013-11-20 00:00:00,Mobile Solutions Delivery Manager,Goodman Masson Recruitment Services Ltd,The City,Finance and Accounting,4583,,Permanent
2013-04-10 00:00:00,2013-05-10 00:00:00,Senior Payments Solutions Manager,Goodman Masson Recruitment Services Ltd,South East England,Finance and Accounting,4708,,Permanent
2012-05-26 15:00:00,2012-08-24 15:00:00,Customer Insight and Value Data Analyst,Austin Benn,London,Finance and Accounting,3833,,Permanent
2013-01-23 15:00:00,2013-03-24 15:00:00,Corporate Treasury Assistant Manager,Goodman Masson Recruitment Services Ltd,London,Finance and Accounting,3750,,Permanent
2013-08-07 15:00:00,2013-11-05 15:00:00,Credit Risk Analyst  Counterparty Risk,Goodman Masson Recruitment Services Ltd,The City,Finance and Accounting,3750,,Permanent
2012-11-04 00:00:00,2013-01-03 00:00:00,Senior Associate Internal Audit (Mandarin speaking),Campbell James Limited,London,Finance and Accounting,3750,,Permanent
2012-12-14 15:00:00,2013-01-13 15:00:00,Analyst  Tax Operations,Walker Hamill Ltd,London,Finance and Accounting,3600,,
2012-08-25 12:00:00,2012-11-23 12:00:00,Corporate Account Executive  East Midlands,Idex Consulting LLP,UK,Finance and Accounting,3333,,Permanent
2012-11-06 15:00:00,2012-12-06 15:00:00,Assistant Billing Manager  Chelmsford,Ambition Europe Limited,Chelmsford,Finance and Accounting,3125,,Permanent
2013-08-02 12:00:00,2013-10-01 12:00:00,Snr Trade and Commodity Finance Support,Cahill Personnel Ltd,London,Finance and Accounting,3333,,Contract
2012-09-03 00:00:00,2012-09-17 00:00:00,Assistant Accountant  Interim,Insight Recruitment Solutions Ltd,London,Finance and Accounting,3440,,Contract
2013-08-24 12:00:00,2013-11-22 12:00:00,Internal Auditor  Part qualified  Insurance,Jefferson Tiley Ltd,London,Finance and Accounting,3167,,Permanent
2013-04-09 00:00:00,2013-06-08 00:00:00,Senior PA / Secretary  (GERMAN SPEAKER),Brian Durham Recruitment Services Limited,The City,Finance and Accounting,3167,,Permanent
2013-08-29 15:00:00,2013-09-28 15:00:00,Executive Assistant to Head of Global Investment company,Jigsaw Recruiting Ltd,London,Finance and Accounting,2833,,Permanent
2013-09-18 15:00:00,2013-12-17 15:00:00,Junior Ruby Developer / Tester,Kennedy Pearce Consulting Ltd,The City,Information Technology,2083,,Permanent
2013-06-14 12:00:00,2013-09-12 12:00:00,Sales Support Coordinator (Financial Services),The Oakland Partnership Limited,South West London,Finance and Accounting,2000,,Permanent
2012-08-08 12:00:00,2012-09-07 12:00:00,"Sales Consultant  Birmingham  Up to **** , ****  Bonus",Idex Consulting LLP,Birmingham,Finance and Accounting,1250,,Permanent
2013-11-17 12:00:00,2014-02-15 12:00:00,Trade Structured Finance Manager  Commodity Trader,LMA Recruitment Ltd,London,Finance and Accounting,6042,,Permanent
2012-08-17 15:00:00,2012-09-16 15:00:00,Senior Manager  AML and Client Relationship,Argyll Scott International Limited,London,Finance and Accounting,4375,,Permanent
2012-11-16 12:00:00,2012-12-16 12:00:00,Business Development Manager  Asset Finance  NW England,The Oakland Partnership Limited,North West England,Finance and Accounting,3542,,Permanent
